ID M_s SFR SSFR M halfmassrad halfmassrad_s Label
451002.0 33377700000.0 3.41792 1.0240130386455628e-10 1121990000000.0 80.9848 7.2764 1.0
115033.0 2944760000.0 1.41602 4.80860919056222e-10 3542710000.0 0.2825 0.2554 1.0
74842.0 11596100000.0 0.0 0.0 101084000000.0 10.0533 1.3924 0.0
37439.0 31666300000.0 0.0 0.0 209026000000.0 12.4481 2.0053 0.0
570923.0 4135540000.0 0.764763 1.8492458058681573e-10 202399000000.0 38.5645 1.448 1.0
581707.0 4763100000.0 0.763422 1.6027839012407888e-10 218800000000.0 39.7515 2.7783 1.0
353121.0 10785600000.0 1.89735 1.7591510903426793e-10 381066999999.99994 36.6219 3.6598 1.0
539123.0 10516800000.0 2.35955 2.243600715046402e-10 374015000000.0 37.4496 3.607 1.0
178925.0 9662890000.0 0.195935 2.0277059968601525e-11 75080300000.0 8.389 2.1586 1.0
453243.0 55427700000.0 0.133114 2.4015789938965535e-12 1273250000000.0 62.2977 4.312 0.0
515642.0 5625530000.0 1.10906 1.9714764653286002e-10 517370000000.0 83.323 3.0639 1.0
318490.0 2887790000.0 0.0216387 7.493169517174033e-12 29922000000.0 7.7889 2.0241 0.0
215840.0 14408100000.0 0.921322 6.394472553633026e-11 525372000000.0 45.5857 1.5027 1.0
601682.0 2959170000.0 0.598429 2.0222866547038528e-10 170936000000.0 32.7226 1.7399 1.0
205627.0 4358630000.0 0.0 0.0 8226270000.0 1.2869 1.0406 0.0
459129.0 44503199999.99999 1.96223 4.409188552733287e-11 1037510000000.0 61.5648 5.007 1.0
69374.0 2918799999.9999995 0.0 0.0 70582400000.0 17.7145 2.8118 0.0
315978.0 67465900000.0 0.0 0.0 250390000000.0 9.4293 3.5869 0.0
454770.0 2495870000.0 0.118939 4.7654324944808823e-11 19715900000.0 4.6507 1.9487 1.0
388229.0 62164300000.0 0.272348 4.381099763047279e-12 2687640000000.0 110.123 8.2625 0.0
547089.0 14487500000.0 1.17739 8.126937014667817e-11 357838000000.0 33.8757 1.7981 1.0
491333.0 24298200000.0 1.42494 5.864385016174039e-11 734442000000.0 56.0856 4.2413 1.0
55277.0 5822770000.0 0.0 0.0 74773100000.0 11.8765 2.6686 0.0
556199.0 2621980000.0 2.79339 1.065374259147667e-09 315483000000.0 46.9763 3.9765 1.0
315980.0 5645910000.0 0.2151 3.8098375638293915e-11 37894900000.0 6.119 2.4648 1.0
521016.0 10458500000.0 2.02559 1.9367882583544483e-10 445172000000.0 51.3335 5.609 1.0
428518.0 2190230000.0 0.181904 8.305246480963187e-11 34797100000.0 7.8869 1.8265 1.0
445790.0 6553350000.0 0.977553 1.4916844056856416e-10 141382000000.0 21.1703 2.0956 1.0
314374.0 28438500000.000004 0.00939995 3.305360690613077e-13 344821000000.0 21.123 1.6959 0.0
451516.0 7499470000.0 1.23033 1.6405559326192383e-10 19027300000.0 1.7984 1.4746 1.0
471374.0 29357500000.0 7.69648 2.62164012603253e-10 857784000000.0 58.9171 4.1524 1.0
581247.0 4216310000.0 0.474097 1.1244358218442192e-10 195003000000.0 36.5353 1.8322 1.0
356152.0 2551150000.0 0.452409 1.7733531936577621e-10 71880200000.0 16.9237 2.5046 1.0
372603.0 40367600000.0 0.0210262 5.208682210485636e-13 2459390000000.0 105.903 2.0681 0.0
591779.0 2432200000.0 0.78293 3.219019817449223e-10 188691000000.0 41.8506 2.0516 1.0
557293.0 4983020000.0 0.237415 4.76448017467319e-11 309898000000.0 48.2776 1.6982 1.0
89564.0 27904700000.0 0.0 0.0 162948999999.99997 8.8708 1.8608 0.0
120616.0 12687600000.000002 0.0 0.0 136734000000.00002 14.7835 1.8162 0.0
591497.0 2564590000.0 0.235666 9.189227127922981e-11 166287999999.99997 31.3327 5.3052 1.0
154846.0 2763500000.0 0.0 0.0 2763500000.0 0.1485 0.1485 0.0
82068.0 20003000000.0 0.0 0.0 203767000000.0 15.713 2.3102 0.0
528730.0 7240520000.0 1.74932 2.416014319413523e-10 436361000000.0 55.9431 3.6012 1.0
494397.0 14791000000.0 3.80481 2.5723818538300315e-10 687724999999.9999 57.1218 1.6532 1.0
342921.0 17477200000.0 3.96455 2.2684125603643606e-10 112448000000.0 9.1656 2.0995 1.0
562718.0 3189890000.0 1.04754 3.28393769064137e-10 297246000000.0 46.1868 1.8458 1.0
326950.0 4066620000.0 0.510295 1.2548381702740852e-10 55039600000.0 9.4233 1.9982 1.0
439282.0 47455200000.0 2.13173 4.492089381142636e-11 1471380000000.0 81.6762 8.7598 1.0
26668.0 38998000000.0 0.0 0.0 880241000000.0 48.5635 3.9809 0.0
587371.0 4517210000.0 0.775117 1.7159197823435261e-10 220985000000.0 37.3647 2.3074 1.0
406375.0 35604900000.0 0.0 0.0 2375930000000.0 113.581 2.054 0.0
501738.0 12064500000.0 1.79991 1.4919060052219322e-10 575543000000.0 71.9162 1.4765 1.0
454350.0 13223500000.0 2.88556 2.1821454229213143e-10 242384000000.0 21.9584 2.404 1.0
133312.0 51317300000.0 0.0 0.0 415633000000.0 23.2984 3.5148 0.0
156996.0 3164150000.0 0.106054 3.351737433433939e-11 107926000000.0 20.5408 2.4723 1.0
535883.0 9417340000.0 0.900995 9.567404383828129e-11 398989000000.0 52.621 2.0066 1.0
391515.0 3186960000.0 0.274516 8.613725933177699e-11 11513300000.0 3.2519 2.2022 1.0
161731.0 19613700000.0 0.0220937 1.1264422317053897e-12 384045000000.0 28.5758 1.8176 0.0
511412.0 18357400000.0 0.0 0.0 674332000000.0 65.489 1.5529 0.0
13681.0 2850370000.0 0.00827002 2.901384732508411e-12 34861500000.0 7.6301 2.3268 0.0
476093.0 13225800000.0 3.12175 2.3603487123652256e-10 782283000000.0 80.452 1.956 1.0
346859.0 67388899999.99999 0.0 0.0 5375200000000.0 126.121 3.942 0.0
501318.0 16559000000.0 2.99752 1.8102059303098015e-10 586557000000.0 53.1768 8.6931 1.0
498763.0 16003600000.0 1.81788 1.1359194181309205e-10 646396000000.0 49.3965 3.1975 1.0
544273.0 2646810000.0 0.165964 6.270340523120284e-11 325797000000.0 58.3775 3.2821 1.0
574352.0 5736470000.0 0.622854 1.0857792335704711e-10 247738000000.0 39.0702 4.2338 1.0
564106.0 3984230000.0000005 0.62002 1.5561852603890837e-10 276868000000.0 50.977 1.7859 1.0
545859.0 8643130000.0 1.53771 1.7791124280208673e-10 329366000000.0 49.0725 4.4287 1.0
